discoverymethod,n_planets,avg_radius_earth,avg_mass_earth,first_year,last_year
Transit,4500,4.361876653578586,123.46020251712612,2002,2026
Radial Velocity,1166,9.75987266194864,1035.4051064286616,1995,2026
Microlensing,266,9.850563909774433,797.6943019686465,2004,2026
Imaging,87,13.433424578313254,4485.179850102736,2004,2026
Transit Timing Variations,39,6.493408364210526,484.3989013444738,2011,2025
Eclipse Timing Variations,17,12.893333333333336,2102.722438878823,2009,2023
Orbital Brightness Modulation,9,9.64504,350.3239953666667,2011,2021
Pulsar Timing,8,5.411333333333332,278.15552903625,1992,2024
Astrometry,6,12.450000000000001,4673.610125018334,2013,2025
Pulsation Timing Variations,2,12.75,2383.725,2007,2016
Disk Kinematics,1,13.3,794.575,2019,2019
