pl_name,hostname,pl_rade,ra
14 And b,14 And,13.1,352.82415
47 UMa d,47 UMa,13.5,164.8647611
55 Cnc c,55 Cnc,8.51,133.1468373
55 Cnc d,55 Cnc,13.0,133.1468373
AB Aur b,AB Aur,12.5,73.9410446
AF Lep b,AF Lep,13.0,81.7699216
AU Mic e,AU Mic,4.87,311.2911369
BD-210397 b,BD-210397,14.0,33.3024198
Barnard e,Barnard's star,0.637,269.4486144
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,12.4,224.6208333
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,20.8487041,246.934277
CoRoT-10 b,CoRoT-10,10.87,291.0636813
DMPP-1 b,DMPP-1,5.29,86.7761233
DMPP-1 d,DMPP-1,1.65,86.7761233
EPIC 201170410.02,EPIC 201170410,1.047,170.1408561
EPIC 206024342 c,EPIC 206024342,1.4,331.2771441
EPIC 206042996 c,EPIC 206042996,1.2,337.5136198
EPIC 212499991 b,EPIC 212499991,1.6,202.488752
EPIC 212737443 b,EPIC 212737443,2.586,204.2215065
EPIC 220674823 c,EPIC 220674823,2.84,13.0800239
EPIC 249893012 c,EPIC 249893012,3.67,228.2482353
FU Tau b,FU Tau,12.2,65.8974962
G 196-3 b,G 196-3,12.0,151.0884754
GJ 1002 b,GJ 1002,1.03,1.6764641
GJ 1148 c,GJ 1148,9.71,175.4326081
GJ 1214 b,GJ 1214,2.733,258.8313991
GJ 229 b,GJ 229,3.97,92.6435993
GJ 338 B b,GJ 338 B,3.25,138.5916722
GJ 3470 b,GJ 3470,4.57,119.7735021
GJ 367 d,GJ 367,2.33,146.121464
GJ 3929 b,GJ 3929,1.09,239.5775678
GJ 393 b,GJ 393,1.17,157.2288672
GJ 3998 b,GJ 3998,1.39,259.0020507
GJ 433 b,GJ 433,2.33,173.8619194
GJ 625 b,GJ 625,1.49,246.3557854
GJ 806 c,GJ 806,2.28,311.2697002
GJ 9404 b,GJ 9404,3.48,184.8472095
GJ 9827 c,GJ 9827,1.13,351.7717763
Gliese 12 b,Gliese 12,0.958,3.9579137
HAT-P-15 b,HAT-P-15,11.88154,66.248142
HAT-P-19 b,HAT-P-19,11.29865255,9.5165832
HAT-P-27 b,HAT-P-27,11.43,222.7673221
HAT-P-28 b,HAT-P-28,13.585,13.0009159
HAT-P-30 b,HAT-P-30,16.14096,123.9498431
HAT-P-32 b,HAT-P-32,22.19382,31.0427614
HAT-P-36 b,HAT-P-36,14.313893,188.2662048
HAT-P-4 b,HAT-P-4,14.28,229.99122
HAT-P-42 b,HAT-P-42,14.348,135.3443583
HAT-P-6 b,HAT-P-6,16.58932,354.7740917
HAT-P-60 b,HAT-P-60,18.28184752,28.2825719
HAT-P-9 b,HAT-P-9,15.614137,110.1685157
HATS-1 b,HATS-1,14.594,175.5252399
HATS-16 b,HATS-16,14.5717,358.5588439
HATS-38 b,HATS-38,6.882326,154.2710615
HATS-40 b,HATS-40,17.71022,100.5712467
HATS-48 A b,HATS-48 A,8.9672,288.6720048
HATS-66 b,HATS-66,15.815899,101.3948048
HATS-67 b,HATS-67,18.887165,180.2087883
HD 10180 f,HD 10180,5.24,24.4731133
HD 102195 b,HD 102195,14.2,176.4254063
HD 102956 b,HD 102956,13.8,177.8436988
HD 104067 b,HD 104067,9.2,179.7923543
